NAME	UNIPROT_ID	UNIPROT_GENE_NAME	DESCRIPTION	LINK
Q9Y228	T3JAM_HUMAN	TRAF3IP3	TRAF3-interacting JNK-activating modulator	https://www.uniprot.org/uniprot/Q9Y228
Q9Y4D8	HECD4_HUMAN	HECTD4	Probable E3 ubiquitin-protein ligase HECTD4	https://www.uniprot.org/uniprot/Q9Y4D8
A0A075B6H7	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	https://www.uniprot.org/uniprot/A0A075B6H7
A0A075B6H9	LV469_HUMAN	IGLV4-69	Immunoglobulin lambda variable 4-69	https://www.uniprot.org/uniprot/A0A075B6H9
A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	https://www.uniprot.org/uniprot/A0A075B6I0
A0A075B6I4	LVX54_HUMAN	IGLV10-54	Immunoglobulin lambda variable 10-54	https://www.uniprot.org/uniprot/A0A075B6I4
A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46	https://www.uniprot.org/uniprot/A0A075B6I9
A0A075B6J2	LV233_HUMAN	IGLV2-33	Probable non-functional immunoglobulin lambda variable 2-33	https://www.uniprot.org/uniprot/A0A075B6J2
A0A075B6J9	LV218_HUMAN	IGLV2-18	Immunoglobulin lambda variable 2-18	https://www.uniprot.org/uniprot/A0A075B6J9
A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	https://www.uniprot.org/uniprot/A0A075B6K4
A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9	https://www.uniprot.org/uniprot/A0A075B6K5
A0A087WSX0	LV545_HUMAN	IGLV5-45	Immunoglobulin lambda variable 5-45	https://www.uniprot.org/uniprot/A0A087WSX0
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	https://www.uniprot.org/uniprot/A0A087WSY6
A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	Immunoglobulin kappa variable 3D-11	https://www.uniprot.org/uniprot/A0A0A0MRZ8
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	https://www.uniprot.org/uniprot/A0A0A0MS15
A0A0A0MT36	KVD21_HUMAN	IGKV6D-21	Immunoglobulin kappa variable 6D-21	https://www.uniprot.org/uniprot/A0A0A0MT36
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	https://www.uniprot.org/uniprot/A0A0B4J1V0
A0A0B4J1V2	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26	https://www.uniprot.org/uniprot/A0A0B4J1V2
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	https://www.uniprot.org/uniprot/A0A0B4J1X5
A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	https://www.uniprot.org/uniprot/A0A0B4J1Y9
A0A0B4J2D9	KVD13_HUMAN	IGKV1D-13	Immunoglobulin kappa variable 1D-13	https://www.uniprot.org/uniprot/A0A0B4J2D9
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	https://www.uniprot.org/uniprot/A0A0C4DH25
A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18	https://www.uniprot.org/uniprot/A0A0C4DH31
A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	https://www.uniprot.org/uniprot/A0A0C4DH38
A0A0C4DH67	KV108_HUMAN	IGKV1-8	Immunoglobulin kappa variable 1-8	https://www.uniprot.org/uniprot/A0A0C4DH67
A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	Immunoglobulin heavy variable 5-10-1	https://www.uniprot.org/uniprot/A0A0J9YXX1
A0M8Q6	IGLC7_HUMAN	IGLC7	Immunoglobulin lambda constant 7	https://www.uniprot.org/uniprot/A0M8Q6
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	https://www.uniprot.org/uniprot/A3KMH1
A7E2F4	GOG8A_HUMAN	GOLGA8A	Golgin subfamily A member 8A	https://www.uniprot.org/uniprot/A7E2F4
A8K8P3	SFI1_HUMAN	SFI1	Protein SFI1 homolog	https://www.uniprot.org/uniprot/A8K8P3
B5MCY1	TDR15_HUMAN	TDRD15	Tudor domain-containing protein 15	https://www.uniprot.org/uniprot/B5MCY1
B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	https://www.uniprot.org/uniprot/B9A064
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	https://www.uniprot.org/uniprot/O14776
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	https://www.uniprot.org/uniprot/O14791
O15049	N4BP3_HUMAN	N4BP3	NEDD4-binding protein 3	https://www.uniprot.org/uniprot/O15049
O15055	PER2_HUMAN	PER2	Period circadian protein homolog 2	https://www.uniprot.org/uniprot/O15055
O15131	IMA6_HUMAN	KPNA5	Importin subunit alpha-6	https://www.uniprot.org/uniprot/O15131
O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	https://www.uniprot.org/uniprot/O43684
O43866	CD5L_HUMAN	CD5L	CD5 antigen-like	https://www.uniprot.org/uniprot/O43866
O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2	https://www.uniprot.org/uniprot/O75116
O75636	FCN3_HUMAN	FCN3	Ficolin-3	https://www.uniprot.org/uniprot/O75636
O75882	ATRN_HUMAN	ATRN	Attractin	https://www.uniprot.org/uniprot/O75882
O75896	TUSC2_HUMAN	TUSC2	Tumor suppressor candidate 2	https://www.uniprot.org/uniprot/O75896
O95445	APOM_HUMAN	APOM	Apolipoprotein M	https://www.uniprot.org/uniprot/O95445
O95985	TOP3B_HUMAN	TOP3B	DNA topoisomerase 3-beta-1	https://www.uniprot.org/uniprot/O95985
P00441	SODC_HUMAN	SOD1	Superoxide dismutase [Cu-Zn]	https://www.uniprot.org/uniprot/P00441
P00450	CERU_HUMAN	CP	Ceruloplasmin	https://www.uniprot.org/uniprot/P00450
P00734	THRB_HUMAN	F2	Prothrombin	https://www.uniprot.org/uniprot/P00734
P00736	C1R_HUMAN	C1R	Complement C1r subcomponent	https://www.uniprot.org/uniprot/P00736
P00738	HPT_HUMAN	HP	Haptoglobin	https://www.uniprot.org/uniprot/P00738
P00739	HPTR_HUMAN	HPR	Haptoglobin-related protein	https://www.uniprot.org/uniprot/P00739
P00740	FA9_HUMAN	F9	Coagulation factor IX	https://www.uniprot.org/uniprot/P00740
P00746	CFAD_HUMAN	CFD	Complement factor D	https://www.uniprot.org/uniprot/P00746
P00747	PLMN_HUMAN	PLG	Plasminogen	https://www.uniprot.org/uniprot/P00747
P00748	FA12_HUMAN	F12	Coagulation factor XII	https://www.uniprot.org/uniprot/P00748
P00751	CFAB_HUMAN	CFB	Complement factor B	https://www.uniprot.org/uniprot/P00751
P00915	CAH1_HUMAN	CA1	Carbonic anhydrase 1	https://www.uniprot.org/uniprot/P00915
P01008	ANT3_HUMAN	SERPINC1	Antithrombin-III	https://www.uniprot.org/uniprot/P01008
P01009	A1AT_HUMAN	SERPINA1	Alpha-1-antitrypsin	https://www.uniprot.org/uniprot/P01009
P01011	AACT_HUMAN	SERPINA3	Alpha-1-antichymotrypsin	https://www.uniprot.org/uniprot/P01011
P01019	ANGT_HUMAN	AGT	Angiotensinogen	https://www.uniprot.org/uniprot/P01019
P01023	A2MG_HUMAN	A2M	Alpha-2-macroglobulin	https://www.uniprot.org/uniprot/P01023
P01024	CO3_HUMAN	C3	Complement C3	https://www.uniprot.org/uniprot/P01024
P01031	CO5_HUMAN	C5	Complement C5	https://www.uniprot.org/uniprot/P01031
P01034	CYTC_HUMAN	CST3	Cystatin-C	https://www.uniprot.org/uniprot/P01034
P01042	KNG1_HUMAN	KNG1	Kininogen-1	https://www.uniprot.org/uniprot/P01042
P01344	IGF2_HUMAN	IGF2	Insulin-like growth factor II	https://www.uniprot.org/uniprot/P01344
P01591	IGJ_HUMAN	JCHAIN	Immunoglobulin J chain	https://www.uniprot.org/uniprot/P01591
P01593	KVD33_HUMAN	IGKV1D-33	Immunoglobulin kappa variable 1D-33	https://www.uniprot.org/uniprot/P01593
P01594	KV133_HUMAN	IGKV1-33	Immunoglobulin kappa variable 1-33	https://www.uniprot.org/uniprot/P01594
P01599	KV117_HUMAN	IGKV1-17	Immunoglobulin kappa variable 1-17	https://www.uniprot.org/uniprot/P01599
P01602	KV105_HUMAN	IGKV1-5	Immunoglobulin kappa variable 1-5	https://www.uniprot.org/uniprot/P01602
P01611	KVD12_HUMAN	IGKV1D-12	Immunoglobulin kappa variable 1D-12	https://www.uniprot.org/uniprot/P01611
P01615	KVD28_HUMAN	IGKV2D-28	Immunoglobulin kappa variable 2D-28	https://www.uniprot.org/uniprot/P01615
P01619	KV320_HUMAN	IGKV3-20	Immunoglobulin kappa variable 3-20	https://www.uniprot.org/uniprot/P01619
P01699	LV144_HUMAN	IGLV1-44	Immunoglobulin lambda variable 1-44	https://www.uniprot.org/uniprot/P01699
P01700	LV147_HUMAN	IGLV1-47	Immunoglobulin lambda variable 1-47	https://www.uniprot.org/uniprot/P01700
P01701	LV151_HUMAN	IGLV1-51	Immunoglobulin lambda variable 1-51	https://www.uniprot.org/uniprot/P01701
P01703	LV140_HUMAN	IGLV1-40	Immunoglobulin lambda variable 1-40	https://www.uniprot.org/uniprot/P01703
P01704	LV214_HUMAN	IGLV2-14	Immunoglobulin lambda variable 2-14	https://www.uniprot.org/uniprot/P01704
P01705	LV223_HUMAN	IGLV2-23	Immunoglobulin lambda variable 2-23	https://www.uniprot.org/uniprot/P01705
P01706	LV211_HUMAN	IGLV2-11	Immunoglobulin lambda variable 2-11	https://www.uniprot.org/uniprot/P01706
P01709	LV208_HUMAN	IGLV2-8	Immunoglobulin lambda variable 2-8	https://www.uniprot.org/uniprot/P01709
P01714	LV319_HUMAN	IGLV3-19	Immunoglobulin lambda variable 3-19	https://www.uniprot.org/uniprot/P01714
P01717	LV325_HUMAN	IGLV3-25	Immunoglobulin lambda variable 3-25	https://www.uniprot.org/uniprot/P01717
P01718	LV327_HUMAN	IGLV3-27	Immunoglobulin lambda variable 3-27	https://www.uniprot.org/uniprot/P01718
P01742	HV169_HUMAN	IGHV1-69	Immunoglobulin heavy variable 1-69	https://www.uniprot.org/uniprot/P01742
P01762	HV311_HUMAN	IGHV3-11	Immunoglobulin heavy variable 3-11	https://www.uniprot.org/uniprot/P01762
P01764	HV323_HUMAN	IGHV3-23	Immunoglobulin heavy variable 3-23	https://www.uniprot.org/uniprot/P01764
P01766	HV313_HUMAN	IGHV3-13	Immunoglobulin heavy variable 3-13	https://www.uniprot.org/uniprot/P01766
P01780	HV307_HUMAN	IGHV3-7	Immunoglobulin heavy variable 3-7	https://www.uniprot.org/uniprot/P01780
P01814	HV270_HUMAN	IGHV2-70	Immunoglobulin heavy variable 2-70	https://www.uniprot.org/uniprot/P01814
P01834	IGKC_HUMAN	IGKC	Immunoglobulin kappa constant	https://www.uniprot.org/uniprot/P01834
P01857	IGHG1_HUMAN	IGHG1	Immunoglobulin heavy constant gamma 1	https://www.uniprot.org/uniprot/P01857
P01859	IGHG2_HUMAN	IGHG2	Immunoglobulin heavy constant gamma 2	https://www.uniprot.org/uniprot/P01859
P01860	IGHG3_HUMAN	IGHG3	Immunoglobulin heavy constant gamma 3	https://www.uniprot.org/uniprot/P01860
P01861	IGHG4_HUMAN	IGHG4	Immunoglobulin heavy constant gamma 4	https://www.uniprot.org/uniprot/P01861
P02042	HBD_HUMAN	HBD	Hemoglobin subunit delta	https://www.uniprot.org/uniprot/P02042
P02647	APOA1_HUMAN	APOA1	Apolipoprotein A-I	https://www.uniprot.org/uniprot/P02647
P02649	APOE_HUMAN	APOE	Apolipoprotein E	https://www.uniprot.org/uniprot/P02649
P02652	APOA2_HUMAN	APOA2	Apolipoprotein A-II	https://www.uniprot.org/uniprot/P02652
P02655	APOC2_HUMAN	APOC2	Apolipoprotein C-II	https://www.uniprot.org/uniprot/P02655
P02656	APOC3_HUMAN	APOC3	Apolipoprotein C-III	https://www.uniprot.org/uniprot/P02656
P02671	FIBA_HUMAN	FGA	Fibrinogen alpha chain	https://www.uniprot.org/uniprot/P02671
P02675	FIBB_HUMAN	FGB	Fibrinogen beta chain	https://www.uniprot.org/uniprot/P02675
P02679	FIBG_HUMAN	FGG	Fibrinogen gamma chain	https://www.uniprot.org/uniprot/P02679
P02741	CRP_HUMAN	CRP	C-reactive protein	https://www.uniprot.org/uniprot/P02741
P02743	SAMP_HUMAN	APCS	Serum amyloid P-component	https://www.uniprot.org/uniprot/P02743
P02746	C1QB_HUMAN	C1QB	Complement C1q subcomponent subunit B	https://www.uniprot.org/uniprot/P02746
P02747	C1QC_HUMAN	C1QC	Complement C1q subcomponent subunit C	https://www.uniprot.org/uniprot/P02747
P02748	CO9_HUMAN	C9	Complement component C9	https://www.uniprot.org/uniprot/P02748
P02749	APOH_HUMAN	APOH	Beta-2-glycoprotein 1	https://www.uniprot.org/uniprot/P02749
Q9Y5Y7	LYVE1_HUMAN	LYVE1	Lymphatic vessel endothelial hyaluronic acid receptor 1	https://www.uniprot.org/uniprot/Q9Y5Y7
Q9Y6R7	FCGBP_HUMAN	FCGBP	IgGFc-binding protein	https://www.uniprot.org/uniprot/Q9Y6R7
